port_id,country,source
shanghai,Kina,Havne_koor_newest_opdateret.txt
singapore,Singapore,Havne_koor_newest_opdateret.txt
ningbozhoushan,Kina,Havne_koor_newest_opdateret.txt
shenzhen,Kina,Havne_koor_newest_opdateret.txt
qing_dao,Kina,Havne_koor_newest_opdateret.txt
guangzhou,Kina,Havne_koor_newest_opdateret.txt
busan,Sydkorea,Havne_koor_newest_opdateret.txt
tianjin,Kina,Havne_koor_newest_opdateret.txt
jebel_ali,UAE,Havne_koor_newest_opdateret.txt
port_klang,Malaysia,Havne_koor_newest_opdateret.txt
rotterdam,Holland,Havne_koor_newest_opdateret.txt
hong_kong,Hong Kong,Havne_koor_newest_opdateret.txt
antwerpbrugges,Belgien,Havne_koor_newest_opdateret.txt
xiamen,Kina,Havne_koor_newest_opdateret.txt
tanjung_pelepas,Malaysia,Havne_koor_newest_opdateret.txt
los_angeles,USA,Havne_koor_newest_opdateret.txt
tanger_med,Marokko,Havne_koor_newest_opdateret.txt
suzhou,Kina,Havne_koor_newest_opdateret.txt
long_beach,USA,Havne_koor_newest_opdateret.txt
laem_chabang,Thailand,Havne_koor_newest_opdateret.txt
kaohsiung,Taiwan,Havne_koor_newest_opdateret.txt
ho_chi_minh_city,Vietnam,Havne_koor_newest_opdateret.txt
guangxi_beibu,Kina,Havne_koor_newest_opdateret.txt
new_york_new_jersey,USA,Havne_koor_newest_opdateret.txt
mundra,Indien,Havne_koor_newest_opdateret.txt
hamborg,Tyskland,Havne_koor_newest_opdateret.txt
tanjung_priok,Indonesia,Havne_koor_newest_opdateret.txt
manila,Filippinerne,Havne_koor_newest_opdateret.txt
santos,Brasilien,Havne_koor_newest_opdateret.txt
valencia,Spanien,Havne_koor_newest_opdateret.txt
piraeus,Grækenland,Havne_koor_newest_opdateret.txt
bremen,Tyskland,Havne_koor_newest_opdateret.txt
tokyo,Japan,Havne_koor_newest_opdateret.txt
algeciras,Spanien,Havne_koor_newest_opdateret.txt
savannah,USA,Havne_koor_newest_opdateret.txt
houston,USA,Havne_koor_newest_opdateret.txt
abu_dhabi,UAE,Havne_koor_newest_opdateret.txt
da_lian,Kina,Havne_koor_newest_opdateret.txt
dongguan,Kina,Havne_koor_newest_opdateret.txt
colombo,Sri Lanka,Havne_koor_newest_opdateret.txt
colon,Panama,Havne_koor_newest_opdateret.txt
balboa,Panama,Havne_koor_newest_opdateret.txt
hai_phong,Vietnam,Havne_koor_newest_opdateret.txt
cai_mep,Vietnam,Havne_koor_newest_opdateret.txt
jawaharal_nehru,Indien,Havne_koor_newest_opdateret.txt
rizhao,Kina,Havne_koor_newest_opdateret.txt
yingkou,Kina,Havne_koor_newest_opdateret.txt
yantai,Kina,Havne_koor_newest_opdateret.txt
tanjung_perak,Indonesia,Havne_koor_newest_opdateret.txt
lianyungang,Kina,Havne_koor_newest_opdateret.txt
